district_id,district_name,district_name_kn,unit_type,division,hq_city,centroid_latitude,centroid_longitude,source_polygon_name,is_active,review_note
KLR,Kolar,ಕೋಲಾರ,District,Eastern,Kolar,13.13958,78.217819,Kolara,False,"range=geographic approximation, not official KSP map; verify"
BLU,Bengaluru (Urban) District,ಬೆಂಗಳೂರು ನಗರ,District,Central,Bengaluru (Urban),12.951475,77.593949,Bengaluru (Urban),False,"range=geographic approximation, not official KSP map; verify"
BLD,Bengaluru District,ಬೆಂಗಳೂರು ಗ್ರಾಮಾಂತರ,District,Central,Bengaluru,13.227159,77.573848,Bengaluru (Rural),False,"range=geographic approximation, not official KSP map; verify"
MDY,Mandya District,ಮಂಡ್ಯ,District,Southern,Mandya,12.611444,76.797968,Mandya,True,"range=geographic approximation, not official KSP map; verify"
HSN,Hassan,ಹಾಸನ,District,Southern,Hassan,12.996466,76.107756,Hassan,False,"range=geographic approximation, not official KSP map; verify"
DKD,Dakshina Kannada District,ದಕ್ಷಿಣ ಕನ್ನಡ,District,Southern,Dakshina Kannada,12.852295,75.250794,Dakshina Kannada,False,"range=geographic approximation, not official KSP map; verify"
KDG,Kodagu,ಕೊಡಗು,District,Southern,Kodagu,12.3254,75.802291,Kodagu,True,"range=geographic approximation, not official KSP map; verify"
MYD,Mysuru District,ಮೈಸೂರು,District,Southern,Mysuru,12.210666,76.440744,Mysuru,False,"range=geographic approximation, not official KSP map; verify"
CHN,Chamarajanagara,ಚಾಮರಾಜನಗರ,District,Southern,Chamarajanagara,11.95746,77.095961,Chamarajanagara,False,"range=geographic approximation, not official KSP map; verify"
CKB,Chikkaballapura,ಚಿಕ್ಕಬಳ್ಳಾಪುರ,District,Eastern,Chikkaballapura,13.577982,77.835286,Chikkaballapura,False,"range=geographic approximation, not official KSP map; verify"
BLS,Bengaluru South District,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,District,Central,Bengaluru South,12.677825,77.335635,Bengaluru South,False,"range=geographic approximation, not official KSP map; verify"
YDG,Yadgir,ಯಾದಗಿರಿ,District,Ballari,Yadgir,16.626638,76.912486,Yadgir,False,"range=geographic approximation, not official KSP map; verify"
VJN,Vijayanagara,ವಿಜಯನಗರ,District,Ballari,Vijayanagara,14.895702,76.187981,Vijayanagara,False,"range=geographic approximation, not official KSP map; verify"
BLR,Bengaluru City,ಬೆಂಗಳೂರು ನಗರ ಪೊಲೀಸ್,Commissionerate,Central,Bengaluru,12.9716,77.5946,Bengaluru (Urban),True,"centroid=public-knowledge city-centre coords, not polygon-derived; shares parent district's admin_boundaries polygon (no true carve-out geometry, per §4.2)"
MYS,Mysuru City,ಮೈಸೂರು ನಗರ ಪೊಲೀಸ್,Commissionerate,Southern,Mysuru,12.2958,76.6394,Mysuru,True,"centroid=public-knowledge city-centre coords, not polygon-derived; shares parent district's admin_boundaries polygon (no true carve-out geometry, per §4.2)"
MNG,Mangaluru City,ಮಂಗಳೂರು ನಗರ ಪೊಲೀಸ್,Commissionerate,Southern,Mangaluru,12.9141,74.856,Dakshina Kannada,True,"centroid=public-knowledge city-centre coords, not polygon-derived; shares parent district's admin_boundaries polygon (no true carve-out geometry, per §4.2)"
HBL,Hubballi-Dharwad City,ಹುಬ್ಬಳ್ಳಿ-ಧಾರವಾಡ ನಗರ ಪೊಲೀಸ್,Commissionerate,Western,Hubballi,15.3647,75.124,Dharwad,True,"centroid=public-knowledge city-centre coords, not polygon-derived; shares parent district's admin_boundaries polygon (no true carve-out geometry, per §4.2)"
BGV,Belagavi City,ಬೆಳಗಾವಿ ನಗರ ಪೊಲೀಸ್,Commissionerate,Belagavi,Belagavi,15.8497,74.4977,Belagavi,True,"centroid=public-knowledge city-centre coords, not polygon-derived; shares parent district's admin_boundaries polygon (no true carve-out geometry, per §4.2)"
KLB,Kalaburagi City,ಕಲಬುರಗಿ ನಗರ ಪೊಲೀಸ್,Commissionerate,Northern,Kalaburagi,17.3297,76.8343,Kalaburgi,False,"centroid=public-knowledge city-centre coords, not polygon-derived; shares parent district's admin_boundaries polygon (no true carve-out geometry, per §4.2)"
